
[kyfx_feed_cp200m:granularity],FLOAT32,Feed_CP200M:粒度
[kyfx_feed_cp200plus360m:granularity],FLOAT32,Feed_CP200Plus360M:粒度
[kyfx_feed_cp360m:granularity],FLOAT32,Feed_360M:粒度
[kyfx_feed_cpdensity:density],FLOAT32,Feed_Density:密度

[kyfx_dqxk_grade_Pb],FLOAT32,低铅精矿Pb:品位
[kyfx_dqxk_grade_SOD],FLOAT32,低铅精矿Sod:品位
[kyfx_dqxk_grade_Zn],FLOAT32,低铅精矿Zn:品位

[kyfx_gqxk_grade_Pb],FLOAT32,高铅精矿Pb:品位
[kyfx_gqxk_grade_SOD],FLOAT32,高铅精矿Sod:品位
[kyfx_gqxk_grade_Zn],FLOAT32,高铅精矿Zn:品位

[kyfx_qkcw_grade_Pb],FLOAT32,铅快粗尾Pb:品位
[kyfx_qkcw_grade_SOD],FLOAT32,铅快粗尾Sod:品位
[kyfx_qkcw_grade_Zn],FLOAT32,铅快粗尾Zn:品位

[kyfx_qw_grade_Pb],FLOAT32,铅尾Pb:品位
[kyfx_qw_grade_SOD],FLOAT32,铅尾Sod:品位
[kyfx_qw_grade_Zn],FLOAT32,铅尾Zn:品位

[kyfx_yk_grade_Pb],FLOAT32,原矿Pb:品位
[kyfx_yk_grade_SOD],FLOAT32,原矿Sod:品位
[kyfx_yk_grade_Zn],FLOAT32,原矿Zn:品位

[kyfx_zqxk_grade_Pb],FLOAT32,总铅精矿Pb:品位
[kyfx_zqxk_grade_SOD],FLOAT32,总铅精矿Sod:品位
[kyfx_zqxk_grade_Zn],FLOAT32,总铅精矿Zn:品位

[yj_qkc_5#you:ocssetup],UINT16,铅快粗工序2#油:OCS设定量
[yj_qkc_5#you:plcsetup],UINT16,铅快粗工序2#油:PLC设定流量
[yj_qkc_5#you:actualflow],UINT16,铅快粗工序2#油:实际药剂流量

[yj_qkc_dinghuangyao1:ocssetup],UINT16,铅快粗工序丁黄药:OCS设定量1
[yj_qkc_dinghuangyao2:ocssetup],UINT16,铅快粗工序丁黄药:OCS设定量2
[yj_qkc_dinghuangyao1:plcsetup],UINT16,铅快粗工序丁黄药:PLC设定流量
[yj_qkc_dinghuangyao2:plcsetup],UINT16,铅快粗工序丁黄药:PLC设定流量
[yj_qkc_dinghuangyao1:actualflow],UINT16,铅快粗工序丁黄药:实际药剂流量
[yj_qkc_dinghuangyao2:actualflow],UINT16,铅快粗工序丁黄药:实际药剂流量

[yj_qkc_shihui:ocssetup],UINT16,铅快粗工序石灰:OCS设定量
[yj_qkc_shihui:plcsetup],UINT16,铅快粗工序石灰:PLC设定流量
[yj_qkc_shihui:actualflow],UINT16,铅快粗工序石灰:实际药剂流量

[yj_qkc_yiliudan1:ocssetup],UINT16,铅快粗工序乙硫氮:OCS设定量1
[yj_qkc_yiliudan2:ocssetup],UINT16,铅快粗工序乙硫氮:OCS设定量2
[yj_qkc_yiliudan1:plcsetup],UINT16,铅快粗工序乙硫氮:PLC设定流量1
[yj_qkc_yiliudan2:plcsetup],UINT16,铅快粗工序乙硫氮:PLC设定流量2
[yj_qkc_yiliudan1:actualflow],UINT16,铅快粗工序乙硫氮:实际药剂流量1
